WORD	DIFF	FREQ
pénible 	0.000158119135894 	4
quête 	0.000158119135894 	4
récit 	0.000158119135894 	4
secourir 	0.000158119135894 	4
servir 	0.000158119135894 	4
sort 	0.000158119135894 	4
sœur 	0.000158119135894 	4
vide 	0.000158119135894 	4
catastrophe 	0.000137935105943 	23
devoir 	0.000136201803333 	20
compte 	0.000134468500722 	17
soir 	0.000134468500722 	17
disait 	0.000132735198112 	14
misère 	0.000132735198112 	14
besoin 	0.000131001895502 	11
haut 	0.000131001895502 	11
suivant 	0.000131001895502 	11
autorités 	0.000129268592892 	8
désespoir 	0.000129268592892 	8
immédiatement 	0.000129268592892 	8
longtemps 	0.000129268592892 	8
messieurs 	0.000129268592892 	8
plein 	0.000129268592892 	8
total 	0.000129268592892 	8
agir 	0.000127535290282 	5
annonce 	0.000127535290282 	5
devient 	0.000127535290282 	5
fera 	0.000127535290282 	5
figure 	0.000127535290282 	5
généreuse 	0.000127535290282 	5
honneur 	0.000127535290282 	5
livrer 	0.000127535290282 	5
maux 	0.000127535290282 	5
parfois 	0.000127535290282 	5
perte 	0.000127535290282 	5
prête 	0.000127535290282 	5
puisse 	0.000127535290282 	5
siège 	0.000127535290282 	5
spontanément 	0.000127535290282 	5
sympathies 	0.000127535290282 	5
tôt 	0.000127535290282 	5
vive 	0.000127535290282 	5
œuvre 	0.000127535290282 	5
accusations 	0.000125801987671 	2
adoremus 	0.000125801987671 	2
agi 	0.000125801987671 	2
ailleurs 	0.000125801987671 	2
air 	0.000125801987671 	2
amertumes 	0.000125801987671 	2
angoisse 	0.000125801987671 	2
annales 	0.000125801987671 	2
appelait 	0.000125801987671 	2
ardeurs 	0.000125801987671 	2
attendent 	0.000125801987671 	2
bienfaisance 	0.000125801987671 	2
bouilloire 	0.000125801987671 	2
boutade 	0.000125801987671 	2
camp 	0.000125801987671 	2
capital 	0.000125801987671 	2
cete 	0.000125801987671 	2
charitables 	0.000125801987671 	2
chrétien 	0.000125801987671 	2
cite 	0.000125801987671 	2
citons 	0.000125801987671 	2
coloniale 	0.000125801987671 	2
combler 	0.000125801987671 	2
comprendra 	0.000125801987671 	2
confusion 	0.000125801987671 	2
connue 	0.000125801987671 	2
consolation 	0.000125801987671 	2
constitue 	0.000125801987671 	2
contenir 	0.000125801987671 	2
coopérateurs 	0.000125801987671 	2
créant 	0.000125801987671 	2
davantage 	0.000125801987671 	2
desolata 	0.000125801987671 	2
desolatione 	0.000125801987671 	2
destinées 	0.000125801987671 	2
devoirs 	0.000125801987671 	2
devrait 	0.000125801987671 	2
difficultés 	0.000125801987671 	2
diocésains 	0.000125801987671 	2
divine 	0.000125801987671 	2
droits 	0.000125801987671 	2
déconçerter 	0.000125801987671 	2
déploiement 	0.000125801987671 	2
désespérante 	0.000125801987671 	2
désolée 	0.000125801987671 	2
détermination 	0.000125801987671 	2
dévastation 	0.000125801987671 	2
effets 	0.000125801987671 	2
eglise 	0.000125801987671 	2
empressé 	0.000125801987671 	2
entretenir 	0.000125801987671 	2
envoyer 	0.000125801987671 	2
epris 	0.000125801987671 	2
esprits 	0.000125801987671 	2
exemplaires 	0.000125801987671 	2
exprimé 	0.000125801987671 	2
extrèmement 	0.000125801987671 	2
fer 	0.000125801987671 	2
feraient 	0.000125801987671 	2
fondant 	0.000125801987671 	2
fourni 	0.000125801987671 	2
fournir 	0.000125801987671 	2
fruits 	0.000125801987671 	2
gendarmes 	0.000125801987671 	2
gouffre 	0.000125801987671 	2
humains 	0.000125801987671 	2
humanité 	0.000125801987671 	2
idées 	0.000125801987671 	2
in 	0.000125801987671 	2
informé 	0.000125801987671 	2
innombrables 	0.000125801987671 	2
inouïe 	0.000125801987671 	2
instruments 	0.000125801987671 	2
intervenir 	0.000125801987671 	2
intime 	0.000125801987671 	2
jadis 	0.000125801987671 	2
jetons 	0.000125801987671 	2
jugerions 	0.000125801987671 	2
justement 	0.000125801987671 	2
langage 	0.000125801987671 	2
largement 	0.000125801987671 	2
lecornu 	0.000125801987671 	2
ligue 	0.000125801987671 	2
lu 	0.000125801987671 	2
machination 	0.000125801987671 	2
masses 	0.000125801987671 	2
matérielle 	0.000125801987671 	2
mentionne 	0.000125801987671 	2
mois 	0.000125801987671 	2
moracchini 	0.000125801987671 	2
mourant 	0.000125801987671 	2
mérite 	0.000125801987671 	2
métropolitain 	0.000125801987671 	2
négociant 	0.000125801987671 	2
offrandes 	0.000125801987671 	2
oreilles 	0.000125801987671 	2
organisée 	0.000125801987671 	2
os 	0.000125801987671 	2
our 	0.000125801987671 	2
paix 	0.000125801987671 	2
panique 	0.000125801987671 	2
pans 	0.000125801987671 	2
paquets 	0.000125801987671 	2
pensionnat 	0.000125801987671 	2
petits 	0.000125801987671 	2
pillards 	0.000125801987671 	2
placés 	0.000125801987671 	2
plaisant 	0.000125801987671 	2
policière 	0.000125801987671 	2
por 	0.000125801987671 	2
portion 	0.000125801987671 	2
prier 	0.000125801987671 	2
prime 	0.000125801987671 	2
produire 	0.000125801987671 	2
propagateursde 	0.000125801987671 	2
propagea 	0.000125801987671 	2
présente 	0.000125801987671 	2
publiés 	0.000125801987671 	2
père 	0.000125801987671 	2
péchés 	0.000125801987671 	2
quarts 	0.000125801987671 	2
raconter 	0.000125801987671 	2
ravagé 	0.000125801987671 	2
regarde 	0.000125801987671 	2
relativement 	0.000125801987671 	2
religieux 	0.000125801987671 	2
remerciments 	0.000125801987671 	2
rencontre 	0.000125801987671 	2
rentrer 	0.000125801987671 	2
resserrer 	0.000125801987671 	2
rest 	0.000125801987671 	2
rigueur 	0.000125801987671 	2
récemment 	0.000125801987671 	2
réfugier 	0.000125801987671 	2
réveillée 	0.000125801987671 	2
rôle 	0.000125801987671 	2
saines 	0.000125801987671 	2
salles 	0.000125801987671 	2
science 	0.000125801987671 	2
seconde 	0.000125801987671 	2
sensible 	0.000125801987671 	2
situatinos 	0.000125801987671 	2
soulage 	0.000125801987671 	2
souverain 	0.000125801987671 	2
squelette 	0.000125801987671 	2
subsistent 	0.000125801987671 	2
sujets 	0.000125801987671 	2
supplications 	0.000125801987671 	2
supposons 	0.000125801987671 	2
supérieur 	0.000125801987671 	2
séjour 	0.000125801987671 	2
tabernacle 	0.000125801987671 	2
temple 	0.000125801987671 	2
trait 	0.000125801987671 	2
tribut 	0.000125801987671 	2
trésorier 	0.000125801987671 	2
tue 	0.000125801987671 	2
témoignage 	0.000125801987671 	2
unanime 	0.000125801987671 	2
usage 	0.000125801987671 	2
utile 	0.000125801987671 	2
vases 	0.000125801987671 	2
venons 	0.000125801987671 	2
verrions 	0.000125801987671 	2
verrons 	0.000125801987671 	2
vicaire 	0.000125801987671 	2
viendrait 	0.000125801987671 	2
voudrez 	0.000125801987671 	2
voulez 	0.000125801987671 	2
voyions 	0.000125801987671 	2
yachts 	0.000125801987671 	2
échappées 	0.000125801987671 	2
écho 	0.000125801987671 	2
écrit 	0.000125801987671 	2
éléments 	0.000125801987671 	2
ému 	0.000125801987671 	2
émues 	0.000125801987671 	2
épaves 	0.000125801987671 	2
étendait 	0.000125801987671 	2
événement 	0.000125801987671 	2
lieu 	0.00010908456294 	27
souscriptions 	0.00010735126033 	24
matin 	0.00010388465511 	18
comment 	0.000102151352499 	15
dernier 	0.000102151352499 	15
pauvre 	0.000102151352499 	15
porter 	0.000102151352499 	15
donné 	0.000100418049889 	12
souscription 	0.000100418049889 	12
cathédrale 	9.86847472791e-05 	9
cité 	9.86847472791e-05 	9
cris 	9.86847472791e-05 	9
flamme 	9.86847472791e-05 	9
listes 	9.86847472791e-05 	9
parti 	9.86847472791e-05 	9
place 	9.86847472791e-05 	9
vient 	9.86847472791e-05 	9
autrefois 	9.69514446689e-05 	6
bas 	9.69514446689e-05 	6
causes 	9.69514446689e-05 	6
cru 	9.69514446689e-05 	6
dernière 	9.69514446689e-05 	6
entièrement 	9.69514446689e-05 	6
foi 	9.69514446689e-05 	6
mauvais 	9.69514446689e-05 	6
mer 	9.69514446689e-05 	6
montré 	9.69514446689e-05 	6
mots 	9.69514446689e-05 	6
ouverte 	9.69514446689e-05 	6
pitié 	9.69514446689e-05 	6
épargné 	9.69514446689e-05 	6
accuse 	9.52181420587e-05 	3
appelle 	9.52181420587e-05 	3
arrivait 	9.52181420587e-05 	3
assemblée 	9.52181420587e-05 	3
attaqué 	9.52181420587e-05 	3
bandes 	9.52181420587e-05 	3
beaux 	9.52181420587e-05 	3
bornes 	9.52181420587e-05 	3
bruit 	9.52181420587e-05 	3
come 	9.52181420587e-05 	3
comité 	9.52181420587e-05 	3
comprend 	9.52181420587e-05 	3
confrère 	9.52181420587e-05 	3
construire 	9.52181420587e-05 	3
convenable 	9.52181420587e-05 	3
croyions 	9.52181420587e-05 	3
