SOURCE	TARGET	WEIGHT
do	à	3.18940493581e-05
juillet	à	3.1816824057e-05
terme	ventes	3.1816824057e-05
donné	lieu	3.15851481537e-05
chambre	syndicale	3.11990216481e-05
banque	russe	3.1121796347e-05
annonces	lagrange	3.10445710459e-05
à	mettre	3.09673457448e-05
dito	roux	3.08901204437e-05
à	gauche	3.08128951426e-05
hauteur	barométrique	3.06584445403e-05
midi	à	3.05812192392e-05
rendre	compte	3.05039939381e-05
conseiller	municipal	3.0426768637e-05
prêt	à	3.0426768637e-05
affaires	coloniales	3.02723180348e-05
articles	communiqués	3.02723180348e-05
demande	à	3.02723180348e-05
dépêches	télégraphiques	3.02723180348e-05
à	brest	3.02723180348e-05
ainsi	dire	3.01950927337e-05
appelé	à	3.01950927337e-05
ans	à	3.00406421315e-05
journal	boulevard	2.99634168304e-05
à	do	2.99634168304e-05
guillaume	ii	2.98861915292e-05
journal	marquait	2.98089662281e-05
réussi	à	2.98089662281e-05
suffrage	universel	2.98089662281e-05
jeune	femme	2.9731740927e-05
paris	hier	2.96545156259e-05
foncier	égyptien	2.95000650237e-05
gabrielle	bompard	2.94228397226e-05
gaz	central	2.94228397226e-05
vient	à	2.93456144215e-05
va	être	2.92683891204e-05
faire	à	2.91139385182e-05
jour	à	2.91139385182e-05
société	générale	2.9036713217e-05
recette	marché	2.89594879159e-05
à	lyon	2.89594879159e-05
rendu	à	2.88822626148e-05
décidé	à	2.86505867115e-05
à	mai	2.86505867115e-05
escompte	courant	2.85733614104e-05
faite	à	2.85733614104e-05
pris	part	2.85733614104e-05
janvier	à	2.84189108082e-05
jours	après	2.84189108082e-05
fin	à	2.83416855071e-05
gaz	parisien	2.83416855071e-05
compris	escompte	2.80327843026e-05
cote	officielle	2.78783337004e-05
java	bon	2.78783337004e-05
dernières	années	2.78011083993e-05
jeunes	filles	2.78011083993e-05
réservé	à	2.78011083993e-05
sucres	blanc	2.78011083993e-05
janvier	tme	2.76466577971e-05
laines	à	2.76466577971e-05
tribunal	civil	2.76466577971e-05
appartenant	à	2.7569432496e-05
