SOURCE	TARGET	WEIGHT	WEIGHT*100000
arrivée	à	3.54E-05	3.544641321
devait	être	3.51E-05	3.5137512
qualité	peigné	3.51E-05	3.5137512
été	faite	3.51E-05	3.5137512
lord	salisbury	3.50E-05	3.49830614
roux	à	3.49E-05	3.49058361
tour	eiffel	3.47E-05	3.46741602
relatif	à	3.46E-05	3.45969349
numéro	départements	3.45E-05	3.45197096
soumis	à	3.45E-05	3.45197096
ensuite	à	3.44E-05	3.444248429
arts	décoratifs	3.43E-05	3.428803369
comptant	courant	3.41E-05	3.413358309
à	avril	3.41E-05	3.405635779
dernières	dépêches	3.40E-05	3.397913249
à	où	3.40E-05	3.397913249
jouissance	tme	3.39E-05	3.390190719
avril	juin	3.37E-05	3.374745658
arriver	à	3.35E-05	3.351578068
barométrique	à	3.34E-05	3.336133008
betting	pari	3.34E-05	3.336133008
mars	mai	3.31E-05	3.312965418
premier	tour	3.30E-05	3.297520357
dépêches	commerciales	3.28E-05	3.282075297
bons	à	3.27E-05	3.266630237
procéder	à	3.27E-05	3.266630237
relative	à	3.26E-05	3.258907707
lagrange	cerf	3.25E-05	3.251185177
février	à	3.23E-05	3.228017586
yves	guyot	3.23E-05	3.228017586
août	à	3.21E-05	3.212572526
cafés	à	3.21E-05	3.212572526
destiné	à	3.21E-05	3.212572526
do	à	3.19E-05	3.189404936
juillet	à	3.18E-05	3.181682406
terme	ventes	3.18E-05	3.181682406
donné	lieu	3.16E-05	3.158514815
chambre	syndicale	3.12E-05	3.119902165
banque	russe	3.11E-05	3.112179635
annonces	lagrange	3.10E-05	3.104457105
à	mettre	3.10E-05	3.096734574
dito	roux	3.09E-05	3.089012044
à	gauche	3.08E-05	3.081289514
hauteur	barométrique	3.07E-05	3.065844454
midi	à	3.06E-05	3.058121924
rendre	compte	3.05E-05	3.050399394
conseiller	municipal	3.04E-05	3.042676864
prêt	à	3.04E-05	3.042676864
affaires	coloniales	3.03E-05	3.027231803
articles	communiqués	3.03E-05	3.027231803
demande	à	3.03E-05	3.027231803
dépêches	télégraphiques	3.03E-05	3.027231803
à	brest	3.03E-05	3.027231803
ainsi	dire	3.02E-05	3.019509273
appelé	à	3.02E-05	3.019509273
ans	à	3.00E-05	3.004064213
journal	boulevard	3.00E-05	2.996341683
à	do	3.00E-05	2.996341683
guillaume	ii	2.99E-05	2.988619153
journal	marquait	2.98E-05	2.980896623
réussi	à	2.98E-05	2.980896623
suffrage	universel	2.98E-05	2.980896623
jeune	femme	2.97E-05	2.973174093
paris	hier	2.97E-05	2.965451563
foncier	égyptien	2.95E-05	2.950006502
gabrielle	bompard	2.94E-05	2.942283972
gaz	central	2.94E-05	2.942283972
vient	à	2.93E-05	2.934561442
va	être	2.93E-05	2.926838912
faire	à	2.91E-05	2.911393852
jour	à	2.91E-05	2.911393852
société	générale	2.90E-05	2.903671322
recette	marché	2.90E-05	2.895948792
à	lyon	2.90E-05	2.895948792
rendu	à	2.89E-05	2.888226261
décidé	à	2.87E-05	2.865058671
à	mai	2.87E-05	2.865058671
escompte	courant	2.86E-05	2.857336141
faite	à	2.86E-05	2.857336141
pris	part	2.86E-05	2.857336141
janvier	à	2.84E-05	2.841891081
jours	après	2.84E-05	2.841891081
fin	à	2.83E-05	2.834168551
gaz	parisien	2.83E-05	2.834168551
compris	escompte	2.80E-05	2.80327843
cote	officielle	2.79E-05	2.78783337
java	bon	2.79E-05	2.78783337
dernières	années	2.78E-05	2.78011084
jeunes	filles	2.78E-05	2.78011084
réservé	à	2.78E-05	2.78011084
sucres	blanc	2.78E-05	2.78011084
janvier	tme	2.76E-05	2.76466578
laines	à	2.76E-05	2.76466578
tribunal	civil	2.76E-05	2.76466578
appartenant	à	2.76E-05	2.75694325
faire	connaître	2.76E-05	2.75694325
demandé	à	2.75E-05	2.749220719
été	mis	2.75E-05	2.749220719
bourse	droit	2.74E-05	2.741498189
cotons	à	2.73E-05	2.726053129
huiles	kilos	2.73E-05	2.726053129
léon	say	2.73E-05	2.726053129
paris	prix	2.72E-05	2.718330599
société	civile	2.72E-05	2.718330599
rouble	russe	2.70E-05	2.702885539
communiqués	bureaux	2.70E-05	2.695163009
jules	roche	2.68E-05	2.679717948
lettre	suivante	2.68E-05	2.679717948
mois	etain	2.68E-05	2.679717948
à	mars	2.68E-05	2.679717948
été	gagné	2.67E-05	2.671995418
à	cheval	2.66E-05	2.664272888
prendre	part	2.66E-05	2.656550358
façon	à	2.64E-05	2.641105298
jouissance	itme	2.64E-05	2.641105298
affaires	militaires	2.62E-05	2.617937708
ventes	futurs	2.62E-05	2.617937708
ancien	député	2.60E-05	2.602492647
peut	dire	2.60E-05	2.602492647
destinés	à	2.59E-05	2.594770117
numéro	à	2.59E-05	2.594770117
